c,Northings,Eastings,Heights,Station Name,Station,Datum,Condition,Reviews,Y,X,Type,Source
47,9861107.69,268083.41,1473.98,Embakasi Sub-Station,KJ12,Arc 1960 Zone 37M,Not updated,Bad Point,-1.25847,36.916659,Undefined ,SoK
48,9854722.67,275771.77,1471.39,Mavoko,KJ13,Arc 1960 Zone 37M,Not updated,Bad Point,-1.316255,36.985679,Undefined ,SoK
49,9858741.97,281528.49,1386.31,Kamulu,KJ14,Arc 1960 Zone 37M,Not updated,Bad Point,-1.279955,37.037424,Undefined ,SoK
50,9855517.54,286628.4,1365.48,Athi,KJ15,Arc 1960 Zone 37M,Not updated,Bad Point,-1.309145,37.083218,Undefined ,SoK
51,9854377.75,239534.75,1782.57,Kerarapon,KJ16,Arc 1960 Zone 37M,Not updated,Bad Point,-1.319088,36.660175,Undefined ,SoK
52,9850571.21,245434.92,1752.44,Karen,KJ17,Arc 1960 Zone 37M,Not updated,Bad Point,-1.353549,36.713137,Undefined ,SoK
53,9845915.98,250962.56,1624.84,Market Street,KJ18,Arc 1960 Zone 37M,Not updated,Bad Point,-1.39568,36.762748,Undefined ,SoK
54,9851765.43,251375.33,1684.07,Bomas,KJ19,Arc 1960 Zone 37M,Not updated,Bad Point,-1.342802,36.766505,Undefined ,SoK
55,9852293.21,265707.21,1525.04,Red Commercial ,KJ20,Arc 1960 Zone 37M,Not updated,Bad Point,-1.338146,36.895248,Undefined ,SoK
56,9847119.74,270063.27,1507.53,Kenya Civil Aviation,KJ21,Arc 1960 Zone 37M,Not updated,Bad Point,-1.384954,36.93434,Undefined ,SoK
57,9850526.02,273677.29,1495.62,Katani,KJ22,Arc 1960 Zone 37M,Not updated,Bad Point,-1.354184,36.966832,Undefined ,SoK
